2.613717023 1.438935000 1.203828000 7,310,290,430 11,454,543,399 1.57 1,175 37,710
2.465405362 1.344889000 1.155010000 7,267,515,468 11,386,741,638 1.57 1,215 37,731
2.466403763 1.429362000 1.084172000 7,400,906,420 11,384,142,464 1.54 1,151 37,717
2.431532451 1.407809000 1.062122000 7,312,122,752 11,385,487,579 1.56 1,218 37,723
2.365522343 1.290126000 1.116220000 7,111,885,558 11,385,277,457 1.60 1,195 37,723
2.462221623 1.296899000 1.172257000 7,416,905,057 11,384,802,833 1.53 1,228 37,731
2.475092372 1.369395000 1.159411000 7,134,416,199 11,385,053,960 1.60 1,164 37,727
2.423760589 1.380839000 1.082102000 7,263,868,328 11,385,571,539 1.57 1,190 37,721
2.378800349 1.258167000 1.158279000 7,114,262,247 11,385,154,944 1.60 1,185 37,724
2.439386335 1.354232000 1.125871000 7,275,802,268 11,386,680,805 1.57 1,198 37,727
