3.023510332 3.503537000 0.214384000 11,020,708,383 15,991,469,321 1.45 4,012 42,293
3.746560330 3.650288000 0.274984000 11,849,805,853 15,240,137,511 1.29 2,913 40,989
3.666708514 4.430686000 0.321063000 14,397,052,700 19,410,133,847 1.35 4,024 46,705
3.742031669 4.389762000 0.336445000 14,348,443,385 19,156,809,777 1.34 3,944 43,919
3.653203772 3.496465000 0.345864000 11,597,767,073 15,227,922,232 1.31 2,935 41,724
3.798016607 4.519468000 0.382911000 14,809,530,183 19,448,184,489 1.31 4,142 46,430
3.826940237 4.496982000 0.280573000 14,507,951,690 19,230,220,580 1.33 4,039 44,912
3.773778324 3.669541000 0.298033000 11,725,343,761 15,322,011,985 1.31 2,973 41,799
3.733161208 4.416214000 0.356832000 14,353,777,368 19,320,260,460 1.35 4,147 45,787
3.672731509 4.371996000 0.305762000 14,293,391,075 19,083,808,392 1.34 3,926 44,762
