52.309052016 12.053487000 24.801837000 51,881,566,469 45,673,876,210 0.88 807,856 40,392
92.485938980 16.258634000 46.465016000 75,392,237,832 63,844,680,674 0.85 1,581,422 28,455
83.645403960 14.490608000 41.809764000 68,690,171,557 55,919,388,184 0.81 1,412,661 24,618
64.171140248 13.418415000 31.132578000 57,793,488,108 49,561,271,950 0.86 1,045,803 28,647
75.709341914 15.059564000 37.292420000 67,316,301,844 55,203,413,090 0.82 1,240,420 29,101
93.184818477 16.954191000 46.662941000 78,298,219,537 64,002,548,381 0.82 1,581,914 28,302
83.824585505 14.403959000 42.122763000 69,491,697,486 55,902,873,055 0.80 1,410,278 24,595
64.709676769 13.157829000 31.398936000 58,437,102,148 49,184,199,056 0.84 1,050,731 29,179
73.812520994 14.393356000 36.446954000 64,874,969,025 54,724,353,662 0.84 1,239,802 29,031
93.590092935 16.471982000 47.140491000 78,195,756,156 63,938,962,532 0.82 1,582,130 28,295
