61.055287677 14.333309000 28.738792000 67,643,617,932 51,212,873,307 0.76 811,689 43,000
109.311432395 20.289348000 54.734913000 101,891,748,051 71,066,598,935 0.70 1,598,180 27,077
97.561588945 17.585130000 48.195429000 89,548,418,232 62,106,637,183 0.69 1,417,571 23,814
73.855126591 15.018790000 35.631235000 73,530,513,670 55,378,113,056 0.75 1,068,181 27,491
90.576705582 17.804058000 44.677736000 87,602,439,396 61,690,443,539 0.70 1,250,433 28,073
106.879910746 19.032407000 53.696342000 97,725,271,998 70,862,390,466 0.73 1,594,854 27,548
99.160048114 18.489260000 47.701095000 92,273,247,753 62,368,844,259 0.68 1,416,969 23,773
75.489110377 16.082434000 36.373316000 76,548,150,208 55,185,613,505 0.72 1,054,287 27,641
88.245923034 17.344840000 43.474608000 84,414,262,942 61,321,307,099 0.73 1,257,150 27,572
107.995088322 19.572225000 53.896603000 100,051,076,973 70,994,848,719 0.71 1,596,445 27,624
