4.085020040 3.169995000 1.372996000 13,426,275,110 15,049,415,176 1.12 380 37,315
3.980097191 3.151034000 1.313391000 13,555,270,965 15,002,865,627 1.11 320 37,313
3.796195278 3.041759000 1.217404000 12,626,865,468 14,974,617,327 1.19 353 37,318
4.038570345 3.089458000 1.409972000 13,226,983,335 14,966,138,757 1.13 381 37,329
3.756080658 2.860521000 1.238578000 11,848,991,542 14,965,783,920 1.26 377 37,315
3.304758679 2.657546000 1.050806000 11,040,424,255 15,123,756,865 1.37 382 37,312
3.299895465 2.752496000 0.959789000 11,209,612,800 15,021,190,489 1.34 336 37,315
3.286172416 2.681106000 1.017655000 11,207,726,370 15,024,671,339 1.34 324 37,321
3.307122328 2.657493000 1.067922000 11,103,602,576 15,043,455,946 1.35 349 37,315
3.222772677 2.623300000 1.017636000 11,144,199,289 15,067,856,720 1.35 326 37,311
