2.459518254 2.601276000 0.148069000 7,900,171,098 10,860,124,189 1.37 1,964 24,871
2.616720109 2.630960000 0.187185000 8,174,262,556 10,851,653,781 1.33 2,046 22,566
2.503681044 2.578037000 0.117006000 8,186,464,712 10,927,161,829 1.33 2,058 23,343
2.396233605 2.534980000 0.143480000 8,102,775,811 10,782,222,386 1.33 2,012 24,610
2.447623028 2.600945000 0.139420000 8,136,164,964 11,048,839,593 1.36 2,000 24,880
2.465182535 2.520104000 0.156781000 8,111,262,167 11,015,071,144 1.36 1,999 23,344
2.631310735 2.690270000 0.154208000 8,370,895,923 11,051,637,392 1.32 2,083 23,642
2.437752006 2.546151000 0.170284000 8,174,416,425 10,902,013,318 1.33 1,992 24,897
2.486383653 2.561102000 0.153434000 8,179,229,060 10,829,490,286 1.32 2,082 23,849
2.512478577 2.536461000 0.209684000 8,208,937,130 10,966,084,394 1.34 2,070 23,365
