2.473892060 1.413035000 1.041188000 6,999,833,916 11,120,787,933 1.59 518 37,586
2.131757652 1.432946000 0.965083000 7,216,769,027 11,116,406,760 1.54 452 37,595
2.691587338 1.453640000 1.247729000 8,006,367,567 11,116,589,160 1.39 430 37,593
2.708281089 1.485083000 1.225865000 8,015,061,702 11,117,072,196 1.39 471 37,601
2.223548522 1.350637000 0.935616000 6,936,291,491 11,116,696,843 1.60 424 37,591
3.088349878 1.720931000 1.416851000 9,279,868,384 11,117,584,850 1.20 470 37,589
2.424287752 1.354584000 1.030478000 6,781,794,117 11,117,368,691 1.64 554 37,596
2.119264906 1.372887000 0.892925000 6,781,556,471 11,115,411,367 1.64 365 37,592
2.320942823 1.394117000 1.262804000 8,022,650,795 11,115,931,358 1.39 362 37,583
3.011681118 1.789692000 1.591438000 9,808,708,167 11,117,474,755 1.13 436 37,585
