3.118357828 2.485826000 1.085304000 10,663,337,106 15,700,689,608 1.47 824 50,107
3.053859758 2.595065000 0.883768000 10,491,247,328 15,891,776,049 1.51 813 50,261
3.040227122 2.549104000 0.938933000 10,598,765,921 15,744,380,159 1.49 855 50,530
3.040865543 2.398731000 1.091422000 10,239,606,614 15,798,736,507 1.54 817 50,616
3.064721924 2.584327000 0.926986000 10,255,499,961 15,731,414,079 1.53 819 50,389
3.114644813 2.549663000 1.013481000 10,373,868,014 15,809,978,664 1.52 819 50,310
3.061409935 2.531771000 0.972838000 10,350,462,583 15,632,055,735 1.51 864 50,584
3.129121446 2.646462000 0.920856000 10,390,297,301 15,908,571,999 1.53 808 50,205
3.057207397 2.515761000 0.966983000 10,257,480,202 15,700,751,732 1.53 810 50,757
3.066979617 2.560655000 0.968247000 10,217,802,984 15,610,405,643 1.53 821 50,451
