2.984069584 2.569393000 0.872548000 9,982,079,233 15,522,263,581 1.56 172 51,025
3.134946973 2.684416000 0.997641000 10,178,929,945 15,593,100,684 1.53 185 50,113
3.128023294 2.744027000 0.910663000 10,308,700,274 15,749,655,179 1.53 173 50,338
3.055655504 2.579933000 0.925411000 10,050,796,757 15,499,657,675 1.54 186 50,781
3.162496985 2.674732000 0.942371000 10,266,445,196 15,618,197,661 1.52 182 50,378
3.205847293 2.640527000 0.984196000 10,169,023,764 15,530,057,723 1.53 185 50,443
3.088629691 2.640710000 0.856230000 10,054,276,044 15,441,097,024 1.54 220 50,481
3.136432641 2.589866000 0.949750000 10,190,563,036 15,565,950,327 1.53 172 50,782
3.076845715 2.687079000 0.919578000 10,012,780,615 15,528,846,510 1.55 178 50,565
3.051026337 2.511315000 1.043038000 10,011,378,718 15,523,370,052 1.55 170 50,667
