31.465529334 11.886924000 11.655048000 38,378,594,808 35,088,685,599 0.91 935,428 33,378
31.591404179 12.457755000 11.333747000 38,844,171,799 32,911,876,959 0.85 934,369 17,057
31.257045152 12.188379000 11.362411000 38,233,029,894 32,910,726,062 0.86 934,342 17,072
31.110706444 12.150163000 11.125502000 37,923,122,813 32,915,432,422 0.87 934,333 17,067
31.541100267 12.482344000 11.262039000 38,765,472,291 32,945,790,788 0.85 934,348 17,069
31.981538949 12.768553000 11.421587000 39,305,885,511 32,943,442,660 0.84 934,346 17,065
31.594091430 12.277096000 11.492631000 39,155,434,386 32,914,895,758 0.84 934,367 17,071
31.829492606 12.556607000 11.450337000 39,406,819,118 32,910,249,381 0.84 934,373 17,056
31.590918129 12.730779000 11.030746000 39,004,227,029 32,914,373,063 0.84 934,357 17,056
31.701713563 12.124893000 11.698542000 38,454,525,784 32,913,640,781 0.86 934,339 17,048
