3.833086839 3.882255000 1.111517000 13,108,114,071 20,749,779,667 1.58 477 58,567
4.108606921 3.639325000 0.945903000 12,871,140,673 19,670,395,377 1.53 241 45,723
4.136349006 4.656167000 1.125006000 15,197,461,321 24,098,165,899 1.59 609 48,343
4.184442694 4.790178000 0.952386000 15,088,435,349 23,876,289,934 1.58 529 48,597
4.090987974 3.640583000 0.882079000 12,885,786,870 19,831,444,877 1.54 236 46,255
4.132129895 4.665359000 1.123364000 15,200,222,863 24,069,910,469 1.58 633 64,173
4.183715478 4.631740000 1.142948000 15,024,878,966 24,051,454,033 1.60 547 50,575
4.113934750 3.579432000 0.969678000 12,761,823,865 19,764,333,047 1.55 228 46,238
4.281550548 4.623480000 1.298100000 15,619,811,241 24,032,748,422 1.54 605 63,033
4.266538048 4.782837000 1.080387000 14,953,636,760 23,862,497,972 1.60 570 50,277
