2.002419499 1.411206000 0.976989000 6,657,955,457 11,728,173,316 1.76 706 47,054
2.037895984 1.511199000 0.998187000 6,672,047,229 11,709,131,745 1.75 193 49,195
2.014241876 1.517899000 1.057685000 6,708,607,216 11,703,823,077 1.74 198 51,118
2.009082463 1.446636000 0.992553000 6,657,577,920 11,688,587,596 1.76 200 49,136
2.057870573 1.519038000 1.068510000 6,846,434,231 11,713,096,415 1.71 195 52,117
2.052486441 1.394269000 0.983241000 6,527,052,667 11,614,419,188 1.78 196 47,412
2.090328168 1.626456000 1.011040000 6,948,672,310 11,699,379,620 1.68 193 50,510
2.068804835 1.503386000 1.095209000 6,859,467,317 11,696,300,819 1.71 205 50,146
2.102464767 1.398159000 1.101701000 6,969,554,429 11,679,929,325 1.68 191 48,110
2.116617666 1.538826000 0.932863000 6,899,029,659 11,615,202,286 1.68 203 52,033
