1.970941180 1.297577000 1.038062000 6,795,799,313 11,858,189,533 1.74 987 46,298
2.014913122 1.244938000 1.136857000 7,076,580,305 11,856,079,655 1.68 993 48,098
1.954191450 1.294136000 1.036916000 6,915,843,822 11,841,642,384 1.71 975 46,405
1.953695794 1.310139000 1.019439000 6,839,386,190 11,845,971,868 1.73 973 46,946
2.030188128 1.415077000 0.986144000 7,010,627,475 11,852,010,713 1.69 983 47,890
1.972956656 1.209409000 1.149139000 6,902,080,400 11,858,795,580 1.72 978 48,455
1.970806646 1.312917000 1.027849000 6,801,987,352 11,850,849,910 1.74 986 47,464
1.957724332 1.218029000 1.093822000 6,776,582,849 11,843,612,422 1.75 976 46,729
1.982282659 1.331321000 1.006511000 6,654,230,645 11,858,100,893 1.78 984 46,367
1.931144068 1.129622000 1.153742000 6,763,467,533 11,854,400,689 1.75 975 45,580
