36.393106349 20.080695000 10.257561000 52,230,117,348 45,984,997,160 0.88 807,533 138,497
59.334534848 27.325232000 19.561505000 76,342,459,299 63,540,926,597 0.83 1,579,163 123,594
51.260275285 23.083805000 16.577494000 66,607,491,591 55,315,985,302 0.83 1,402,436 85,884
40.785046043 20.412927000 12.622731000 55,457,855,860 48,849,661,488 0.88 1,042,395 87,807
47.687478245 23.028275000 15.218240000 63,561,801,742 54,634,774,198 0.86 1,239,324 100,106
58.483700822 27.318149000 18.941660000 76,219,006,559 63,439,907,313 0.83 1,580,415 118,742
52.733623883 23.750440000 17.424052000 69,227,743,031 55,312,533,544 0.80 1,406,094 88,305
42.177801950 21.260680000 13.133222000 57,702,681,709 48,649,626,794 0.84 1,044,680 91,657
48.178385109 23.652730000 15.235191000 65,303,180,228 54,359,350,188 0.83 1,241,037 106,775
57.775443152 26.162447000 19.394901000 75,629,166,485 63,051,388,375 0.83 1,579,855 79,992
