1.939637807 1.340277000 0.898868000 6,716,260,731 11,550,312,278 1.72 202 45,777
1.928319946 1.290940000 0.916408000 6,370,057,714 11,612,660,925 1.82 202 43,276
1.919008996 1.243780000 0.975828000 6,515,834,986 11,646,288,586 1.79 204 44,045
1.997775745 1.250599000 1.070224000 6,866,088,211 11,678,366,723 1.70 195 47,963
1.913510642 1.247143000 0.954405000 6,457,884,657 11,641,103,102 1.80 199 43,410
2.011746184 1.339728000 1.009765000 6,998,493,775 11,680,390,785 1.67 200 48,156
2.011539663 1.297520000 0.971125000 6,654,331,132 11,614,188,389 1.75 194 45,491
1.860248232 1.205333000 0.909005000 6,235,582,770 11,602,779,394 1.86 207 42,485
1.946770253 1.303652000 0.939749000 6,462,306,463 11,647,157,177 1.80 200 44,150
1.968025806 1.281267000 0.944934000 6,519,407,916 11,615,090,546 1.78 203 44,357
